id,title,content,label,sentences,key_sentence
30,Lời_khai_nghi_phạm_vụ_cô_giáo_xinh_đẹp_chết_bất_thường_trong_nhà_nghỉ,'',5,14,8
31,"Tài_xế_taxi_ở_Đà_Nẵng_bị_sát_hại_Hung_thủ_vứt_găng_tay,_áo_khoác_tại_hiện_trường",'',5,9,12
32,Vụ_chồng_giết_vợ_vứt_xác_phi_tang_ở_Cao_Bằng_Thi_thể_trôi_sang_Trung_Quốc_chính_là_người_vợ,'',5,14,20
33,"Vụ_nữ_giám_thị_bị_sát_hại_Lý_giải_động_cơ_gây_án,_tâm_lý_phạm_tội",'',5,20,7
36,Phía_sau_thảm_án_vì_tình_chấn_động_miền_Đông,'',5,65,14
37,Cô_gái_bị_sát_hại_giữa_chợ_ở_Hải_Dương_Bàng_hoàng_lời_kể_nhân_chứng,'',5,20,1
38,"Con_rể_giết_vợ,_mẹ_vợ_Nội_dung_4_thư_tuyệt_mệnh",'',4,18,16
39,"2_bé_gái_bị_hiếp_dâm_rồi_sát_hại_dã_man,_thủ_phạm_thản_nhiên_dẫn_chó_đi_tìm_tung_tích_cùng_cảnh_sát",'',4,15,2
40,Nhát_dao_oan_trái_và_nỗi_khổ_người_đàn_bà_gặp_kẻ_bạc_tình,'',5,44,3
41,Thêm_thông_tin_vụ_đôi_vợ_chồng_tử_vong_ở_Lào_Cai,'',3,8,6
42,Lời_khai_của_thiếu_nữ_sát_hại_mẹ_nuôi,'',5,14,1
43,Video_buổi_chiều_định_mệnh_của_Khashoggi_Vui_vẻ_đến_lãnh_sự_quán_Saudi_cùng_vợ_sắp_cưới_rồi_biến_mất_vĩnh_viễn,'',4,12,11
44,Lời_khai_hung_thủ_sát_hại_xe_ôm_rúng_động_Sài_Gòn,'',3,16,1
45,Ông_Nguyễn_Thanh_Chấn_đã_chính_thức_được_sạch_tội,'',1,18,1
46,"Người_đàn_ông_bị_tố_hiếp_dâm_2_chị_em_kết_nghĩa,_một_người_đang_mang_thai",'',3,15,13
47,"Nghịch_tử_ra_tay_sát_hại_mẹ,_khống_chế_cháu_bé_nhà_hàng_xóm_cố_thủ",'',4,5,4
48,Lá_Khát__loại_ma_túy_mới_độc_hại_mạnh_gấp_500_lần_thông_thường_vừa_nhập_lậu_vào_cảng_Hải_Phòng,'',1,21,1
49,Hành_trình_vây_bắt_hung_thủ_sát_hại_2_vợ_chồng_trong_đêm_Noel,'',5,7,9
50,Vụ_thạc_sĩ_cướp_tài_sản_nhà_con_tướng_công_an_Mẹ_nghi_phạm_sốc_lên_sốc_xuống,'',5,28,17
51,3_người_bị_sát_hại_trong_1_ngày_Nỗi_đau_của_những_người_thân,'',4,16,19
52,"Không_thống_nhất_được_giá_cả,_gái_bán_dâm_bị_sát_hại_dã_man",'',4,9,2
53,Cái_giá_phải_trả_để_giải_quyết_vụ_nhà_báo_Ả_rập_Saudi_Jamal_Khashoggi_bị_giết_hại,'',2,34,23
54,Nữ_tướng_gian_ác_cầm_đầu_băng_cướp_Sọ_Người_sa_lưới,'',4,40,2
55,Thủ_tướng_yêu_cầu_UBND_thành_phố_Hà_Nội_xử_lý_đơn_tố_cáo_của_người_dân_bị_đe_dọa_giết_cả_nhà,'',2,2,2
56,Vụ_bảy_ông_Chấn_ở_Sóc_Trăng_Sắp_được_bồi_thường_gần_nửa_tỷ,'',1,21,1
57,Hé_lộ_bí_mật_cung_đấu_ở_Saudi_Arabia_từ_vụ_nhà_báo_bị_sát_hại,'',5,7,5
58,Vụ_tử_tù_Hồ_Duy_Hải_Hồ_Duy_Hải_không_được_gặp_gia_đình,'',1,6,1
59,Phẫn_nộ_hình_ảnh_mẹ_xích_cổ_con_trai_18_tháng_tuổi_dưới_sàn_và_bắt_ăn_như_động_vật,'',3,17,3
60,Nam_thanh_niên_bị_đánh_chết_tại_hiện_trường_tai_nạn_giao_thông,'',4,4,7
61,Nghi_phạm_vụ_hành_quyết_nhà_báo_Khashoggi_tử_vong_trong_tai_nạn_bí_ẩn_sau_khi_trở_về_Saudi,'',5,8,5
62,"Thảm_án_ở_Quảng_Trị,_2_người_chết_Hung_thủ_dừng_tay_khi_biết_người_phụ_nữ_có_thai",'',5,16,12
63,Diễn_biến_ly_kỳ_vụ_nhà_báo_Ả_Rập_nghi_bị_phân_xác_tại_lãnh_sự_quán,'',5,19,2
64,Gã_chồng_thiêu_sống_vợ_vì_đi_vay_tiền_mà_không_nói,'',4,6,7
65,Con_rể_đoạt_mạng_cha_vợ_bằng_khúc_cây_sau_khi_nhậu_say,'',5,6,1
66,"Myanmar_Rơi_cùng_lúc_2_chiến_đấu_cơ_Trung_Quốc_sản_xuất,_3_người_chết",'',1,13,1
67,Gia_đình_nạn_nhân_vụ_TMV_Cát_Tường_Có_dấu_hiệu_bỏ_lọt_tội_phạm,'',1,32,1
68,Hà_Nội_Thanh_niên_sát_hại_mẹ_đẻ_ngay_tại_nhà,'',2,6,1
69,"Xả_súng,_đánh_bom_trường_học_ở_bán_đảo_Crimea_18_người_chết",'',4,20,1
70,Ông_chủ_gara_ô_tô_bị_sát_hại_trong_đêm_mưa_gió,'',5,7,1
71,"Khởi_tố,_bắt_tạm_giam_thiếu_úy_công_an_bắn_chết_đồng_đội_khi_giao_ca",'',3,6,1
72,Bắt_nghi_phạm_sát_hại_vợ_cùng_tình_địch,'',5,7,5
73,Ẩn_họa_những_cuộc_đua_sắm_hàng_nóng”_của_giang_hồ_tứ_chiếng,'',1,54,1
74,"Đặng_Văn_Hùng_dửng_dưng_kể_tội_ác,_chỉ_hỏi_thăm_người_tình",'',2,13,1
75,Rút_dao_đâm_chết_bạn_trai_tại_bữa_tiệc_sinh_nhật_vì_bị_ăn_2_phát_tát,'',5,10,2
76,Vụ_mộ_tập_thể_60_liệt_sỹ_mất_tích_Thông_tin_mới_nhất,'',1,11,1
77,Lời_khai_của_nghi_can_trong_vụ_thảm_sát_ở_Quảng_Trị,'',5,5,4
78,Bố_mẹ_đau_đớn_dằn_vặt_suốt_đời_khi_chính_lời_khuyên_của_họ_gián_tiếp_khiến_con_gái_bị_giết_chết,'',5,23,6
79,"Vụ_phóng_viên_bị_dọa_giết,_chôn_xác_TBT_báo_VTC_News_đề_nghị_Công_an_Đà_Nẵng_xử_lý_nghiêm",'',2,11,1
80,Nghịch_tử_sát_hại_mẹ_ruột_rồi_giấu_xác_dưới_mương_nước,'',5,4,1
81,Trọng_án_ở_Nghệ_An_4_người_chết_Khai_“đểu”_làm_khó_cho_công_an,'',4,20,10
82,Vụ_phóng_viên_bị_dọa_chôn_xác_ở_bãi_rác_ở_Đà_Nẵng_Do_anh_em_bảo_vệ_trình_độ_kém,'',1,20,1
83,Tên_cướp_sát_hại_3_người_trong_40_ngày_ở_miền_Tây,'',5,25,2
84,Giám_đốc_CA_tỉnh_Nghệ_An_đến_hiện_trường_chỉ_đạo_điều_tra_vụ_án_mạng_4_người,'',1,22,1
85,Hung_thủ_giết_người_trốn_truy_nã_16_năm_sa_lưới,'',4,8,2
86,"Mẹ_trẻ_kể_khổ_mới_sinh_con_17_ngày_đã_bị_chồng_bắt_đi_kiếm_tiền,_nhưng_dân_tình_lại_tìm_ra_điểm_khả_nghi",'',1,39,1
87,Thông_tin_mới_nhất_vụ_trọng_án_4_người_chết_ở_Nghệ_An,'',5,30,1
88,Người_phụ_nữ_bị_nhân_tình_tẩm_xăng_thiêu_sống_đã_tử_vong,'',4,8,7
89,Vụ_thảm_sát_ở_Bình_Phước_Sát_hại_người_yêu_ngay_sau_khi_tâm_sự,'',4,35,7
90,Trọng_án_6_người_chết_ở_Bình_Phước_Khởi_tố_vụ_án,'',1,9,1
91,Bút_ký_người_điều_tra_Tội_ác_của_đôi_gian_phu_dâm_phụ,'',5,41,10
92,Ông_bố_gục_khóc_trước_tội_ác_tày_trời_của_mình_và_bản_án_gây_phẫn_nộ_khi_đánh_đổi_bằng_4_mạng_người,'',4,8,8
93,"Bị_con_dâu_cũ_tạt_bát_phở,_đập_tô_vào_đầu_vì_nói_lời_xúc_phạm",'',4,25,7
94,Người_chồng_giết_vợ_rồi_vứt_xác_xuống_sông_phi_tang_bị_khởi_tố,'',4,5,5
95,Vụ_xác_chết_trên_bờ_sông_Phó_Đáy_Có_dấu_hiệu_tạo_hiện_trường_giả,'',1,18,1
96,"Gia_cảnh_nạn_nhân_bị_đánh_ghen,_cứa_cổ",'',4,15,2
97,Màn_trả_thù_độc_ác_của_đứa_trẻ_bị_mẹ_bỏ_rơi_từ_lúc_mới_chào_đời,'',1,56,1
98,Chân_dung_hung_thủ_cuồng_tình_giết_người_trong_mộng_trước_ngày_cưới,'',1,24,1
99,Nam_thanh_niên_tử_vong_khi_bị_ba_kẻ_côn_đồ_truy_sát,'',3,29,2
100,"Xã_hội_đen_giết_người_vứt_xác,_vào_tận_nhà_đặt_mìn",'',3,29,3
101,"Bắt_được_nghi_phạm_sát_hại_người_phụ_nữ,_giấu_thi_thể_trong_bao_tải",'',1,7,1
102,Trai_Hà_Nội_vướng_vòng_lao_lý_bởi_trót_lao_theo_tiếng_sét_ái_tình,'',1,95,1
103,Thi_hành_án_tử_hình_với_2_kẻ_gây_thảm_án_ở_Hải_Dương,'',5,4,5
104,"Bị_tát,_con_rể_đoạt_mạng_bố_vợ_bằng_nhát_dao_hiểm_ác",'',4,9,2
105,Giết_bạn_gái_vì_mâu_thuẫn_lúc_yêu_nhau,'',5,22,6
106,Video_Chồng_giết_vợ_dã_man_trước_ngày_ly_hôn,'',2,4,6
107,Cô_gái_mặc_nội_y_chết_dưới_suối_Rùng_mình_lời_khai_hung_thủ,'',4,6,1
108,Bất_thường_trong_vụ_bé_trai_2_tuổi_bị_ném_xuống_giếng_sau_tiếng_tri_hô_bắt_cóc_của_người_mẹ,'',1,48,1
109,Dùng_mìn_tự_chế_giết_người_yêu_Tìm_thấy_lá_thư_tuyệt_mệnh_của_hung_thủ,'',3,6,4
110,Hổ_trắng_quý_hiếm_tấn_công_và_giết_chết_nhân_viên_làm_vệ_sinh_chuồng,'',2,6,1
111,Vết_trượt_dài_của_thiếu_phụ_và_cái_chết_dưới_lưỡi_dao_gã_nhân_tình_trẻ,'',5,43,12
112,Vừa_đi_làm_nhân_viên_đã_giết_ông_chủ_để_cướp_tiền,'',5,17,21
113,Phó_Ban_tổ_chức_Quận_ủy_Cầu_Giấy_bị_bắt_vì_liên_quan_đến_vụ_giết_thuê,'',4,15,3
114,Hé_lộ_tin_nhắn_khủng_khiếp_đe_dọa_chị_Nguyệt_Hoài_Đức,'',1,11,1
115,“Đại_ca”_giang_hồ_bị_đàn_em_đánh_chết_ở_phòng_trọ,'',4,13,1
116,"Cha_uống_rượu_say,_ném_con_gái_2_tuổi_vào_gốc_cây_gây_tử_vong",'',3,3,1
117,Xuất_hiện_clip_người_đàn_ông_ăn_mặc_lịch_lãm_bạo_hành_phụ_nữ_dã_man_trên_vỉa_hè_khiến_cộng_đồng_mạng_phẫn_nộ,'',3,16,1
118,"Bị_nhắc_nhở,_anh_dùng_cuốc_đánh_chết_em_trai",'',5,6,1
119,Phu_nhân_Tổng_thống_Trump_lại_bị_chỉ_trích_chỉ_vì_đội_mũ_trắng,'',1,9,1
120,Chân_dung_nữ_nghi_phạm_sát_hại_chủ_nhiệm_hợp_tác_xã_cướp_tài_sản,'',5,7,10
121,Con_dâu_đẩy_mẹ_chồng_xuống_giếng_Mâu_thuẫn_từ_ngày_cưới,'',4,43,1
122,Mẹ_ép_con_ruột_cùng_chết_để_lấy_tiền_phúng_điếu_trả_nợ,'',1,14,1
123,Chú_rể_bị_sát_hại_sau_đêm_tân_hôn_Phát_hiện_con_dao_và_đôi_găng_tay,'',4,7,16
124,"Mẹ_vừa_qua_đời,_con_cầm_búa_sát_hại_3_người_cùng_thôn",'',3,8,5
125,Vụ_thảm_sát_ở_Gia_Lai_Bí_hiểm_về_bộ_quần_áo_của_người_lạ_mặt,'',5,73,15
126,"Đồng_Nai_Mâu_thuẫn_trong_lúc_nhậu,_em_dùng_dao_đâm_chết_anh_trai",'',5,7,1
127,"Phát_hiện_thi_thể_nữ_trôi_sông,_cảnh_sát_hé_lộ_nguyên_nhân_khiến_ai_nấy_đều_sốc_nặng",'',2,14,11
128,Thông_tin_mới_nhất_vụ_người_đàn_ông_bị_sát_hại_tại_nhà_riêng,'',4,43,6
129,Bắt_khẩn_cấp_nghi_can_giết_người_giấu_xác_trong_tủ,'',3,4,4
130,"Sắp_bị_tử_hình,_kẻ_sát_hại_2_cháu_bé_khai_một_vụ_giết_người_khác",'',5,8,8
131,Lợn_sát_thủ_xổng_chuồng_tấn_công_người_điên_cuồng,'',3,8,1
132,"Ma_men_khống_chế,_chú_sát_hại_cháu_họ",'',5,29,1
133,Phận_đời_bi_kịch_bị_giam_lỏng_như_nô_lệ_và_chết_không_toàn_vẹn_dưới_tay_chồng_của_người_mẫu_gợi_cảm_nổi_tiếng_nước_Mỹ,'',3,21,15
134,Hành_trình_vây_bắt_hai_con_nghiện_cướp_tiệm_vàng_ở_Bình_Dương,'',1,12,1
135,Tìm_hiểu_về_Luật_cướp_biển__quy_tắc_vàng_trong_thế_kỷ_17,'',4,32,10
136,"Đèo_nhau_ra_điểm_hẹn_“huyết_chiến_người_chết,_người_lĩnh_án_tù",'',2,12,1
137,"Mâu_thuẫn_trên_mạng,_một_học_sinh_lớp_10_bị_sát_hại_giữa_Sài_Gòn",'',5,8,1
138,Cựu_Phóng_viên_đi_tù_vì_giao_cấu_với_bé_gái_ngay_trong_thư_phòng,'',1,15,1
139,Truy_tìm_nhóm_người_truy_sát_thanh_niên_tử_vong_trong_đó_có_3_nữ_sinh_cao_đẳng,'',4,10,11
140,Đánh_anh_rể_tử_vong_vì_tức_giận,'',5,8,2
141,"Bị_đánh_ghen_lột_áo_giữa_đường_nghi_do_ngoại_tình,_người_phụ_nữ_phân_bua_Có_đi_theo_anh_T._nhưng_không_vào_nhà_nghỉ",'',3,16,1
142,Nguyên_giảng_viên_trường_cao_đẳng_đe_dọa_giết_hiệu_trưởng_vì_vợ_không_được_cử_đi_học,'',1,11,1
143,7_nước_đề_nghị_Liên_Hợp_Quốc_thành_lập_ủy_ban_xây_dựng_hiến_pháp_cho_Syria,'',1,6,1
144,"Mâu_thuẫn_đất_đai,_anh_sát_hại_em",'',5,6,1
145,Nữ_sinh_giết_cán_bộ_huyện_Lạnh_người_mỗi_khi_đi_ngang_nhà_nghỉ,'',5,21,15
146,Thiếu_niên_16_tuổi_sát_hại_hàng_xóm_lĩnh_án,'',5,10,6
147,Thiếu_niên_14_tuổi_hiếp_dâm_cô_gái_18_sẽ_bị_xử_phạt_như_thế_nào,'',1,9,1
148,Vụ_cô_gái_bị_chém_trong_quán_Hung_thủ_ghi_ngờ_“bắt_cá_hai_tay”,'',5,10,1
149,Kẻ_sát_hại_tài_xế_rồi_lạnh_lùng_vứt_xác_xuống_khe_núi_đối_mặt_với_mức_án_tử_hình,'',5,7,6
150,Bắt_quả_tang_vợ_vào_nhà_nghỉ_với_trai_trẻ,'',5,9,11
151,Vụ_trộm_cắp_giết_người_ở_Hưng_Yên_Gây_án_xong_hung_thủ_còn_quay_lại_hiện_trường_vờ_hỏi_thăm_rồi_xem_công_an_phá_án,'',5,19,7
152,TP.HCM_Bắt_được_kẻ_đâm_chết_người_đàn_ông_sau_va_chạm_giao_thông,'',5,11,1
153,Hai_người_phụ_nữ_ở_phiên_tòa_xử_kẻ_giết_người_chôn_xác,'',3,41,35
154,"Thuê_nửa_tỷ_đồng_để_bắn_chết_giám_đốc_doanh_nghiệp,_2_bị_cáo_lĩnh_án_tử",'',2,31,1
155,"NÓNG_Giết_nữ_chủ_nợ,_dùng_băng_keo_cuốn_xác_ném_sông_phi_tang",'',5,15,16
156,Vụ_nghi_bắt_cóc_trẻ_em_Khởi_tố_5_kẻ_đánh_chết_người_bệnh_tâm_thần,'',4,9,1
157,"Nhóm_người_mang_bình_xịt_hơi_cay,_hành_hung_dã_man_một_thiếu_nữ",'',4,7,1
158,"Giết_người,_cướp_tài_sản_rồi_vứt_xác_nạn_nhân_xuống_sông",'',5,4,8
159,'Đại_gia'_ngồi_tù_vì_xâm_hại_cháu_vợ_đến_sinh_con,'',1,8,1
160,Nam_sinh_sư_phạm_giết_bạn_gái_lĩnh_án_chung_thân,'',5,16,1
161,Cao_Bằng_Cụ_bà_gần_80_tuổi_sống_một_mình_trong_ngôi_nhà_bị_sát_hại_dã_man,'',1,10,1
162,Những_cuộc_dàn_xếp_thành_công_của_giang_hồ_Khánh_'trắng','',1,32,1
163,Nghi_phạm_đâm_chết_vợ_1_tháng_trước_được_phát_hiện_chết_trên_sông,'',5,8,1
164,Bắt_giữ_thiếu_niên_13_tuổi_hiếp_dâm_rồi_ra_tay_sát_hại_bé_gái_14_tuổi_nhưng_bất_thành,'',4,11,3
165,Ngày_đền_tội_của_gã_giang_hồ_Khánh_'trắng','',1,23,1
166,"Nam_sinh_lớp_9_bị_cha_đánh_đập_dã_man_vì_dùng_ma_túy_'Có_hai_thanh_niên_kề_dao_vào_cổ_ép_cháu_chơi,_còn_dọa_sẽ_giết_cả_nhà'",'',3,26,3
167,Sốc_với_lời_khai_của_kẻ_đâm_hàng_chục_nhát_dao_vào_bé_gái_7_tuổi,'',5,15,2
168,Bi_kịch_gia_đình_phía_sau_vụ_em_rể_sát_hại_chị_dâu_trong_khách_sạn,'',1,18,1
169,Vụ_chồng_giết_vợ_vứt_xác_phi_tang_ở_Cao_Bằng_Thi_thể_trôi_gần_300km_sang_Trung_Quốc_chính_là_người_vợ,'',4,18,2
170,Đã_bắt_được_nghi_phạm_giết_chủ_quán_cà_phê_dã_man_để_cướp_dây_chuyền_ngày_2010_tại_Bình_Dương,'',4,9,10
171,Bắt_đối_tượng_dùng_dao_đâm_bé_gái_7_tuổi,'',5,8,1
172,Du_học_sinh_khống_chế_con_gái_của_tướng_công_an_để_cướp_tiền_vàng_lĩnh_án,'',1,10,1
173,Thiếu_niên_đâm_chết_nam_sinh_chạy_GrabBike_vì_mê_xe_tay_côn,'',5,10,8
174,"Từ_dấu_hiệu_bất_thường,_phát_hiện_nghi_phạm_giết_bạn_gái_vì_nhắn_tin_với_người_yêu_cũ",'',5,5,6
175,"Bị_cha_đuổi_đánh,_con_trai_phóng_dao_khiến_cha_tử_vong",'',5,15,1
176,Tôi_đi_bốc_bát_họ_Tận_thấy_'luật_chơi'_nghiệt_ngã,'',1,38,1
177,Nữ_sinh_nghi_ném_con_khi_cháu_bé_vẫn_còn_phản_ứng_sống_sẽ_đối_diện_mức_án_nào,'',5,17,11
178,Bạn_không_nhờ_nhưng_nhóm_thanh_niên_vẫn_xin_đi..._giết_người,'',4,13,14
179,Đau_lòng_những_vụ_án_trẻ_sơ_sinh_bị_cướp_đi_mạng_sống_từ_chính_mẹ_ruột_của_mình,'',5,40,12
180,Thực_nghiệm_điều_tra_vụ_sát_hại_bà_bán_thịt_heo_bằng_14_nhát_dao,'',5,12,9
181,Lâm_tặc_bị_nhóm_đối_tượng_chém_xối_xả_để_cướp_gỗ_tang_vật,'',5,12,4
182,Người_đàn_ông_ngáo_đá_dùng_dao_đâm_cảnh_sát_113_trọng_thương,'',4,6,8
184,Khởi_tố_vụ_cô_gái_ném_con_mới_sinh_từ_tầng_31_chung_cư,'',5,13,10
185,"Hàng_xóm_nói_về_vụ_gã_đàn_ông_sát_hại_mẹ,_khống_chế_con_trai_'Không_thấy_bà_Hồng_đâu,_mọi_người_đi_tìm_thì_phát_hiện_vệt_máu_kéo_dài_ra_giếng'",'',5,17,1
186,"Sau_khi_giết_chị_dâu_trong_khách_sạn,_nam_MC_nói_gì_với_vợ",'',4,15,1
187,"Mâu_thuẫn_gia_đình,_chồng_đâm_chết_vợ_trong_đêm",'',5,5,6
188,"Tài_xế_GrabBike_bị_sát_hại_dã_man_ở_Sài_Gòn_là_sinh_viên_đại_học,_hoàn_cảnh_gia_đình_khó_khăn",'',1,15,1
189,"Xác_định_nghi_can_15_tuổi_giết_tài_xế_GrabBike,_cướp_tài_sản",'',1,4,1
190,Bắt_giam_thanh_niên_có_bệnh_án_tâm_thần_bắn_chết_người,'',4,8,8
191,Nam_thanh_niên_mặc_áo_GrabBike_bị_sát_hại_ở_Sài_Gòn,'',1,6,1
192,"Đang_ngủ_trưa,_chồng_bất_ngờ_dùng_dao_Thái_Lan_đâm_vợ",'',5,6,7
193,"Mượn_tiền_không_được,_giết_thầy_lang_cướp_tài_sản",'',5,11,11
194,Không_thể_xử_lý_được_sự_xuống_cấp_đạo_đức_vì_thiếu_kinh_phí,'',1,80,1
195,Rúng_động_Yên_Bái_Em_rể_sát_hại_chị_dâu_trong_khách_sạn_rồi_lao_xe_ra_đường_tự_tử_nghi_do_mâu_thuẫn_tình_cảm,'',3,4,8
196,"Bất_ngờ_về_kẻ_bịt_mặt,_cầm_dao_dí_vào_cổ_người_phụ_nữ_để_cướp_tiền",'',2,8,1
197,Khởi_tố_thiếu_niên_16_tuổi_đâm_cụ_bà_82_tuổi_để_cướp_tiền_đi_mua_mì_tôm,'',5,7,1
198,Cô_gái_bị_người_yêu_cũ_đâm_trọng_thương_ở_phố_Bùi_Thị_Xuân_đã_hồi_tỉnh,'',4,11,3
199,"Vụ_cô_gái_bị_bạn_trai_cũ_đâm_dã_man_trên_phố_Hà_Nội_Người_yêu_mới_của_nạn_nhân_đau_buồn,_mong_sớm_bắt_được_hung_thủ",'',4,22,4
200,Đề_nghị_truy_tố_tài_xế_taxi_hất_cảnh_sát_lên_xe_tội_giết_người,'',3,7,1
201,Lo_đạo_đức_xã_hội_xuống_cấp,'',1,28,1
202,"Doanh_nhân_Sài_Gòn_bị_bắt_cóc,_tống_tiền_vì_nhận_chuyển_'gói_hàng_lạ'",'',4,11,22
203,Cảnh_báo_về_nguyên_nhân_của_hàng_loạt_những_vụ_án_giết_người_dã_man,'',4,21,2
204,Thi_hành_án_tử_hình_2_kẻ_sát_nhân_man_rợ_ở_Hải_Dương,'',5,4,3
205,"Thiếu_niên_cướp_tiền_của_cụ_bà,_mang_500.000_đồng_đưa_mẹ",'',5,5,6
206,Lên_Facebook_tuyên_bố_giết_người_cho_mọi_người_xem_rồi_truy_sát_đồng_nghiệp,'',5,15,1
207,Nghi_án_mất_vàng_ở_tiệm_vàng_lớn_trung_tâm_thành_phố_Lạng_Sơn,'',1,7,1
208,Vụ_bác_sỹ_giết_vợ_vứt_xác_xuống_sông_Tìm_thấy_thi_thể_nghi_của_nạn_nhân_trôi_gần_300km_sang_Trung_Quốc,'',5,6,7
209,"Đọc_tin_nhắn_lạ,_chồng_lên_cơn_cuồng_ghen_bóp_cổ_vợ_đến_chết",'',5,18,19
210,Nghi_vấn_bé_gái_5_tuổi_bị_hàng_xóm_xâm_hại_tình_dục_nhiều_lần,'',2,26,1
211,Lý_lịch_'bất_hảo'_của_gã_trai_giết_con_người_tình_đang_khóc_đòi_mẹ,'',5,9,8
212,"Vụ_thanh_niên_ngáo_đá_cầm_dao_truy_sát_cha_mẹ_Sau_khi_bị_bắt_giữ,_nghi_phạm_vẫn_khoe_vừa_giết_được_2_'con_ma'",'',4,7,13
213,Nghi_can_giết_hàng_xóm_phi_tang_xác_từng_cảnh_báo_nạn_nhân,'',5,19,10
214,Khi_chó_chỉ_là_'cầy_tơ','',1,44,1
215,Giết_người_rồi_rạch_bụng_ném_xác_xuống_giếng_phi_tang,'',5,8,1
216,"Lời_khai_của_đối_tượng_sát_hại_bạn_của_mẹ_rồi_rạch_bụng,_ném_xác_xuống_giếng_phi_tang_Do_thường_bị_nạn_nhân_nói_xấu,_chê_bai",'',5,7,1
217,Quy_trình_giám_định_tâm_thần_nghi_can_trong_vụ_thảm_án_ở_Thái_Nguyên,'',3,6,13
